Cog,Status,Likely Source Repo,Repo URL,Confidence,Notes
giveaway,Unloaded,FlameCogs,https://github.com/Flame442/FlameCogs,High,Flame442 giveaway cog
heist,Unloaded,jumperplugins,https://github.com/Redjumpman/Jumper-Plugins,High,Redjumpman heist cog
instantcmd,Unloaded,Laggrons-Cogs,https://github.com/retke/Laggrons-Dumb-Cogs,High,Laggron's instantcmd cog
invites,Unloaded,Fixator10-Cogs,https://github.com/fixator10/Fixator10-Cogs,Medium,Fixator invites cog
jailed,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
jailP,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Patched/custom version in TL repo
joinmessage,Unloaded,Kennyshiwas,https://github.com/kennnyshiwa/kennnyshiwa-cogs,Medium,kennnyshiwa joinmessage cog
Leveler,Unloaded,Fixator10-Cogs,https://github.com/fixator10/Fixator10-Cogs,High,Fixator Leveler cog (well-known)
levelerplus,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom extension of Leveler in TL repo
listpermissions,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
MinecraftFactions,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
modP,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Patched version of mod in TL repo
modplus,Unloaded,flare-cogs,https://github.com/flaree/Flare-Cogs,Medium,Flare modplus cog
MonthlyLeveler,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
race,Unloaded,jumperplugins,https://github.com/Redjumpman/Jumper-Plugins,High,Redjumpman race cog
recruitment,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
remindme,Unloaded,PCXCogs,https://github.com/PhasecoreX/PCXCogs,High,PCX remindme cog
riverrace,Unloaded,legendv3,https://github.com/Legend-Gaming/legendv3-cogs,High,Legend Gaming CR river race cog
roleplay,Unloaded,brandons209,https://github.com/brandons209/Red-bot-Cogs,Medium,brandons209 roleplay cog
roulette,Unloaded,FlameCogs,https://github.com/Flame442/FlameCogs,Medium,Flame442 roulette cog
russianroulette,Unloaded,FlameCogs,https://github.com/Flame442/FlameCogs,Medium,Flame442 russian roulette cog
say,Unloaded,flare-cogs,https://github.com/flaree/Flare-Cogs,Medium,Flare say cog
sbansync,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL ban sync cog
scheduler,Unloaded,Laggrons-Cogs,https://github.com/retke/Laggrons-Dumb-Cogs,High,Laggron's scheduler cog
stickyroles,Unloaded,Dav-Cogs,https://github.com/Dav-Git/Dav-Cogs,Medium,Dav-Git stickyroles cog
stocks,Unloaded,FlameCogs,https://github.com/Flame442/FlameCogs,Low,Possibly Flame442 stocks cog
suggestion,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Possibly custom TL cog
supporter,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
timezone,Unloaded,aikaterna-cogs,https://github.com/aikaterna/aikaterna-cogs,Medium,Aikaterna timezone cog
trade,Unloaded,jumperplugins,https://github.com/Redjumpman/Jumper-Plugins,Medium,Redjumpman trade cog
tweets,Unloaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,High,TrustyJAID tweets cog
uniquename,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
updatechecker,Unloaded,PCXCogs,https://github.com/PhasecoreX/PCXCogs,High,PCX updatechecker cog
warningsP,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Medium,Patched version of warnings in TL repo
welcome,Unloaded,Trusty-cogs,https://github.com/TrustyJAID/Trusty-cogs,Medium,TrustyJAID welcome cog
welcomecount,Unloaded,tl,https://github.com/dgarner-cg/tl-cogs,Low,Likely custom TL cog
welcomer,Unloaded,Kennyshiwas,https://github.com/kennnyshiwa/kennnyshiwa-cogs,Medium,kennnyshiwa welcomer cog
